title,author & location,date,text,url,Trump
Netanyahu decries ‘biggest fraud in history of democracy’ during Trumpian outburst,"Anshel Pfeffer, Jerusalem",Friday June 11 2021," In a Trumpian outburst at a meeting of his Likud party members in Jerusalem this afternoon, the Israeli prime minister Binyamin Netanyahu called the government about to be formed “the biggest election fraud in the history of the state, and I think in the history of democracies.” Netanyahu was referring to the coalition expected to be sworn in within a week, lead by his former aide turned right-wing party leader Naftali Bennett. The incoming government is relying on a wafer-thin majority of members from right-wing, centrist, left-wing and Arab parties and Netanyahu promised that Likud would “forcefully oppose this dangerous government of fraud and surrender and if it is formed, we will topple it very soon”. Last night Nadav Argaman, chief of the Shin Bet, © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/netanyahu-decries-biggest-fraud-in-history-of-democracy-during-trumpian-outburst-qzr5zkpjc,True
Trump’s Covid catastrophe: what really happened inside the White House,The Times,Friday June 11 2021," It was January 25, 2020, and President Trump was getting his daily intelligence briefing. Far down the list of threats was a mysterious new virus in China. The briefer didn’t seem to take it seriously. Robert O’Brien, the national security adviser, did. “This will be the biggest national security threat you will face in your presidency,” he warned. “Is this going to be as bad or worse than Sars in 2003?” Trump asked. The briefer responded that it wasn’t clear yet. Matthew Pottinger, deputy national security adviser, who was sitting on a couch, jumped to his feet. He had seen enough high-level arguments in the Oval Office to know that Trump relished clashes. “Mr President, I actually covered that,” he said, recounting his experience as © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/trumps-covid-catastrophe-what-really-happened-inside-the-white-house-6hmlzvkr0,True
Facebook blocks Donald Trump until 2023 for inciting Capitol riots,"Alistair Dawber, Washington",Friday June 11 2021," Donald Trump’s Facebook ban has been extended by two years after the social media giant found that he encouraged supporters to attack the Capitol complex in posts on January 6. His account was suspended after the riots. “We love you. You’re very special,” Trump, 74, said to the rioters in his first post. In a second, he called them “great patriots” and told them to “remember this day forever”. It is still possible to read old messages but the former president is prevented from publishing anything new. He is also banned from Twitter. Facebook will assess in 2023 whether to allow Trump back on to the site. “At the end of this period, we will look to experts to assess whether the risk to public © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/facebook-blocks-donald-trump-until-2023-capitol-riots-smrtg27p8,True
Bishop Jo joins Donald Trump’s elite,The Times,Friday June 11 2021," She’s posted 44,280 tweets a year, dismissed political opponents as untrustworthy and been forced off Twitter because of her inappropriate conduct: Joanna Penberthy, the Bishop of St Davids, has made Donald Trump look docile by comparison. She tweeted almost nine times more often than the ranting US president, and now she’s had to leave the site after she tweeted: “Never never never trust a Tory.” The account, which was adorned with a pro-Remain banner, has been deactivated with church leaders saying they “do not support intemperate claims or poorly informed commentary”. Perhaps they should have directed her to Proverbs 18.2: “A fool takes no pleasure in understanding, but only in expressing their opinion.” Giant MP’s challenger
Some politicians are born giants. For the past 16 © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/bishop-jo-joins-donald-trumps-elite-57757d9qm,True
‘From the Desk of Donald J Trump’ blog shuts down after less than a month,Charlie Mitchell,Friday June 11 2021," The website allowing Donald Trump to communicate directly with his followers has shut down a month after it launched. The platform, called From the Desk of Donald J Trump, was created after Trump was banned from Facebook and Twitter following his supporters laying siege to the US Capitol on January 6. It marketed itself as a “beacon of freedom” and “a place to speak freely and safely”. Trump, 74, used it to rile up his supporters, attack his opponents, including the Republican senator Mitt Romney and Liz Cheney — a former senior House Republican who was ousted from her leadership position last month — and repeat his baseless assertions that the 2020 presidential election was rigged against him. Jason Miller, Trump’s senior aide, told CNBC © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/from-the-desk-of-donald-j-trump-blog-shuts-down-after-less-than-a-month-xs6jg22r3,True
Ex-Trump campaign members target Republicans who voted for impeachment,Charlie Mitchell,Friday June 11 2021," Former members of the Trump campaign have launched an organisation to unseat the ten Republican House members who voted to impeach the former president in January. The website of the political action committee, dubbed “America Strong PAC”, pledges to “remove the ten pretenders”. It features a 30-second advert attacking Liz Cheney, who was removed as the third-ranking Republican in the House after blaming Trump for his role in provoking the January 6 insurrection and denouncing his lies about the presidential election. Its treasurer is Jack Mantua, who was the Trump campaign’s executive director of strategic coalitions. A source told the Axios website that America Strong intended to buy television and online adverts and fund grassroots activism. Bill White, an Atlanta businessman and Trump fundraiser who © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/ex-trump-campaign-members-target-republicans-who-voted-for-impeachment-x8rfthm9c,True
Campaigners lament survival of Trump-era oil project Willow in Alaska,Charlie Mitchell,Friday June 11 2021," The Biden administration has been criticised by climate groups after backing a Trump-era oil and gas project in the Alaskan wilderness despite the president’s pro-environment agenda. The administration, which has paused all new drilling leases on public land, has contested legal action brought by environmental groups to stop the project at the National Petroleum Reserve on Alaska’s North Slope. Rather than halting the Willow project the justice department argued that Trump’s approval was reasonable and lawful. ConocoPhillips, the oil company, plans to extract up to 160,000 barrels a day for the next three decades by installing “chillers” on the melting ice, to ensure it can support drilling equipment, and to build a processing facility and hundreds of miles of pipelines and roads. It would be © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/campaigners-lament-survival-of-trump-era-oil-project-in-alaska-q8h2gl2gs,True
Bush nephew turns to Trump for career boost,"David Charter, Washington",Friday June 11 2021," A fourth-generation member of the Bush dynasty is seeking the endorsement of Donald Trump as he prepares to run for senior elected office. George P Bush, nephew of George W Bush, the former president, and son of Jeb Bush, the former Florida governor, was the only prominent family member who openly endorsed Trump for president in 2016 and 2020. Bush, 45, is planning to make a primary challenge against Ken Paxton for his role as attorney-general of Texas. Paxton, 58, is a Trump loyalist who tried to overturn Joe Biden’s election victory in court on behalf of Texas. Bush, grandson of George HW Bush, president from 1989-1993, and great-grandson of Prescott Bush, who was a senator for Connecticut in the Fifties and Sixties, has © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/bush-nephew-turns-to-trump-for-career-boost-c008ncjr8,True
Grand jury convened in Donald Trump case,"Alistair Dawber, Washington",Friday June 11 2021," Manhattan’s district attorney convened a grand jury last night, which could decide whether Donald Trump faces criminal charges over his business dealings. Cyrus Vance has been investigating the Trump Organisation, a conglomerate owned by the former president’s family, for at least two years. It is not clear why the grand jury has been convened but it may indicate that the prosecutor believes he has found enough evidence to move the case forward. The jury will sit for three days a week for six months to consider whether there is enough to bring charges against Trump and possibly others. Last week, the New York state attorney-general, Letitia James, said a separate investigation she was conducting into the Trump Organisation had switched from a civil to © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/grand-jury-convened-in-donald-trump-case-2vtzg96kh,True
Trump impeachment witness sues Mike Pompeo over $1.8m in legal fees,"Charlie Mitchell, Ottawa",Friday June 11 2021," Gordon Sondland, whose testimony helped lawmakers to impeach President Trump in 2019, has sued the US government and the former secretary of state Mike Pompeo for $1.8 million in unpaid legal fees. Sondland, 63, the former US ambassador to the European Union, was sacked after testifying about an alleged scheme to pressure Ukraine to investigate Joe Biden and his son Hunter in exchange for a White House meeting and military assistance. The former diplomat contends that Pompeo, 57, widely seen as a Republican presidential contender, failed to honour a “legally binding promise” to reimburse him for his legal bills after his testimony, according to the complaint filed in Washington DC. Sondland had sought legal representation after he was told that government lawyers would © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/trump-impeachment-witness-sues-pompeo-over-1-8m-in-legal-fees-sf5thfnvh,True
